summary-marketing-airlines,itemAirport,itemAirport 2,summary-luggage-unit,summary-transit,money-int,zaman
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,16055,375
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,365
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,425
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,485
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,545
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,665
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1637,400
Luxair,LCY,LUX,1x23 kg,1 Aktarma,16444,1190
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,16851,255
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,17105,1435
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17337,1225
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17337,1285
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,17419,265
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,17419,425
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,245
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,320
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,380
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,17909,1165
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,17936,760
Air Baltic,LGW,RIX,Kabin bagajı,1 Aktarma,17954,485
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,18709,335
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,19023,675
Norwegian Air Shuttle,LGW,BGO,El çantası,1 Aktarma,19079,630
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,1989,605
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,20337,795
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,21062,655
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21419,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21658,365
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,2175,270
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21808,265
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,22951,795
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,2403,900
Norwegian Air Shuttle,LGW,OSL,Kabin bagajı,1 Aktarma,25609,635
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25981,260
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,26264,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,26264,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,26264,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,26264,80
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,27398,95
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,28539,275
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,75
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,51892,295
